person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
206588;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car;home;work;false;0.0
237990;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car;home;work;false;0.0
291331;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car;home;work;false;0.0
376035;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car;home;work;false;0.0
461711;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car;home;work;false;0.0
494517;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car;home;work;false;0.0
634250;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car;home;work;false;0.0
90638;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car;home;work;false;0.0
429672;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14400.0;0.0;0.0;0.0;car_passenger;home;work;false;0.0
642651;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;14640.0;0.0;0.0;0.0;car;home;work;false;0.0
167746;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;15300.0;0.0;0.0;0.0;car;home;work;false;0.0
376834;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;15300.0;0.0;0.0;0.0;car;home;work;false;0.0
756251;0;245981.9067416243;5164163.917844173;248502.06838900264;5167303.454075206;14400.0;963.0;13328.907347140654;13328.907347140654;car;home;work;false;4025.9039326452908
599965;0;245574.73347235442;5164012.142324211;245981.9067416243;5164163.917844173;15300.0;110.0;354.36251637481;354.36251637481;car;home;work;false;434.5409988338227
135166;0;255719.09527938266;5166692.060215183;248502.06838900264;5167303.454075206;14400.0;1383.0;15257.26735557756;15257.26735557756;car;home;work;false;7242.877852659303
667487;0;255719.09527938266;5166692.060215183;255719.09527938266;5166692.060215183;16200.0;0.0;0.0;0.0;car;home;work;false;0.0
166893;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;0.0;0.0;0.0;car_passenger;home;work;false;0.0
76759;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;24.0;0.0;0.0;car;home;leisure;false;0.0
335916;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;48.0;0.0;0.0;car;home;work;false;0.0
397246;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;48.0;0.0;0.0;car;home;work;false;0.0
449806;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;48.0;0.0;0.0;car;home;work;false;0.0
466361;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;48.0;0.0;0.0;car;home;work;false;0.0
493460;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;48.0;0.0;0.0;car;home;work;false;0.0
49775;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;48.0;0.0;0.0;car;home;work;false;0.0
521178;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;48.0;0.0;0.0;car;home;work;false;0.0
550445;0;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16200.0;48.0;0.0;0.0;car;home;leisure;false;0.0
376834;1;248502.06838900264;5167303.454075206;248502.06838900264;5167303.454075206;16440.0;0.0;0.0;0.0;car;work;work;false;0.0
